Epoch, Batch Time, Data Time, Loss, mAP
0,0.291,0.126,6.0891,0.147470385
1,0.289,0.125,4.6916,0.314422131
2,0.285,0.122,4.2194,0.439538807
3,0.288,0.124,3.9538,0.488163769
4,0.288,0.124,3.789,0.54026258
5,0.288,0.124,3.6533,0.535594285
6,0.289,0.129,3.5999,0.571588695
7,0.283,0.124,3.5143,0.592881322
8,0.28,0.122,3.4519,0.585624754
9,0.281,0.123,3.4172,0.583241999
10,0.292,0.12,3.3686,0.598047078
11,0.286,0.122,3.3511,0.598047078
12,0.29,0.125,3.3201,0.599003911
13,0.294,0.129,3.2703,0.599003911
14,0.29,0.124,3.2693,0.624963224
15,0.287,0.123,3.2446,0.624963224
16,0.291,0.127,3.2398,0.606908441
17,0.29,0.126,3.2123,0.606908441
18,0.283,0.12,3.1994,0.634441018
19,0.283,0.122,3.1834,0.634441018
20,0.297,0.125,3.1422,0.608431458
21,0.291,0.127,3.155,0.608431458
22,0.287,0.124,3.1394,0.643143892
23,0.287,0.125,3.1231,0.643143892
24,0.289,0.127,3.126,0.66014421
25,0.179,0.035,3.1127,0.66014421
26,0.173,0.034,3.0946,0.651304066
27,0.174,0.036,3.0954,0.651304066
28,0.171,0.033,3.0632,0.636150837
29,0.173,0.036,3.0649,0.636150837
30,0.173,0.034,3.0658,0.663446248
31,0.175,0.038,3.0505,0.663446248
32,0.172,0.034,3.0619,0.628868103
33,0.172,0.035,3.0247,0.628868103
34,0.173,0.034,3.033,0.669464469
35,0.172,0.035,3.0146,0.669464469
36,0.173,0.035,3.0191,0.648125827
37,0.172,0.036,3.0227,0.648125827
38,0.173,0.036,2.7549,0.698297679
39,0.175,0.038,2.6928,0.698297679
40,0.174,0.036,2.6732,0.707854986
41,0.173,0.035,2.6659,0.707854986
42,0.292,0.123,2.6392,0.708527148
43,0.281,0.118,2.6444,0.708527148
44,0.283,0.123,2.64,0.713800073
45,0.184,0.043,2.636,0.713800073
46,0.178,0.041,2.6289,0.71323216
47,0.177,0.042,2.6213,0.71323216
48,0.175,0.034,2.6404,0.711446583
49,0.172,0.034,2.6205,0.711446583
50,0.173,0.032,2.6091,0.712114096
51,0.175,0.036,2.6214,0.712114096
52,0.172,0.032,2.6197,0.7118752
53,0.171,0.032,2.617,0.7118752
54,0.176,0.035,2.6232,0.71149385
55,0.172,0.033,2.6244,0.71149385
56,0.175,0.035,2.6189,0.711513996
57,0.174,0.035,2.6118,0.711513996
