Epoch, Batch Time, Data Time, Loss, mAP
0,0.335,0.006,7.6932,0.01429328
1,0.331,0.007,5.6259,0.01429328
2,0.331,0.006,5.2841,0.01429328
3,0.33,0.006,4.9922,0.01429328
4,0.33,0.006,4.7461,0.01429328
5,0.33,0.006,4.5713,0.272081047
6,0.332,0.006,4.4161,0.272081047
7,0.331,0.006,4.2741,0.272081047
8,0.331,0.006,4.163,0.272081047
9,0.33,0.006,4.0544,0.272081047
10,0.33,0.006,3.9836,0.426934332
11,0.331,0.007,3.9057,0.426934332
12,0.331,0.006,3.8304,0.426934332
13,0.332,0.006,3.791,0.426934332
14,0.332,0.006,3.7359,0.426934332
15,0.331,0.006,3.6865,0.512104452
16,0.331,0.006,3.6457,0.512104452
17,0.331,0.006,3.6073,0.512104452
18,0.331,0.007,3.5656,0.512104452
19,0.331,0.006,3.5204,0.512104452
20,0.331,0.006,3.4917,0.551074862
21,0.331,0.006,3.4552,0.551074862
22,0.332,0.006,3.4376,0.551074862
23,0.346,0.005,3.4138,0.551074862
24,0.342,0.007,3.3981,0.551074862
25,0.34,0.006,3.3718,0.580650151
26,0.338,0.006,3.3398,0.580650151
27,0.336,0.006,3.3128,0.580650151
28,0.337,0.006,3.311,0.580650151
29,0.337,0.006,3.2866,0.580650151
30,0.337,0.006,3.2547,0.60762012
31,0.337,0.006,3.2529,0.60762012
32,0.337,0.006,3.2363,0.60762012
33,0.339,0.006,3.2175,0.60762012
34,0.338,0.006,3.1995,0.60762012
35,0.339,0.006,3.1799,0.62081033
36,0.335,0.006,3.1733,0.62081033
37,0.338,0.005,3.1685,0.62081033
38,0.338,0.006,3.0734,0.62081033
39,0.339,0.006,3.0703,0.62081033
40,0.338,0.006,3.0544,0.643270969
41,0.337,0.006,3.0494,0.643270969
42,0.338,0.006,3.0394,0.643270969
43,0.338,0.006,3.041,0.643270969
44,0.338,0.006,3.0472,0.643270969
45,0.338,0.006,3.0541,0.646865308
46,0.339,0.005,3.0411,0.646865308
47,0.338,0.005,3.0292,0.646865308
48,0.338,0.006,3.0418,0.646865308
49,0.338,0.006,3.0238,0.646865308
50,0.338,0.006,3.01,0.64750874
51,0.337,0.006,3.0271,0.64750874
52,0.338,0.006,3.0299,0.64750874
53,0.337,0.004,3.0102,0.64750874
54,0.331,0.006,3.0235,0.64750874
55,0.331,0.006,3.0219,0.649892211
56,0.332,0.006,3.0275,0.649892211
57,0.331,0.006,3.0283,0.649892211
