train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
1.515, 44.784, 1.392, 49.920, 19.92, 2.41
1.011, 63.872, 1.042, 65.800, 18.45, 2.42
0.770, 73.046, 0.851, 72.400, 18.41, 2.43
0.645, 77.654, 0.647, 78.240, 18.54, 2.47
0.552, 80.866, 0.714, 77.680, 18.62, 2.33
0.486, 83.206, 0.488, 83.550, 18.68, 2.47
0.438, 84.874, 0.611, 80.440, 18.75, 2.38
0.398, 86.020, 0.545, 82.330, 18.87, 2.39
0.368, 87.248, 0.419, 86.000, 18.91, 2.51
0.340, 88.178, 0.589, 81.940, 18.96, 2.40
0.317, 88.996, 0.381, 87.230, 18.93, 2.54
0.295, 89.714, 0.481, 84.210, 19.24, 2.44
0.271, 90.692, 0.404, 86.830, 19.22, 2.46
0.256, 91.122, 0.462, 86.550, 19.35, 2.44
0.235, 91.792, 0.510, 84.770, 19.20, 2.45
0.225, 92.172, 0.397, 87.960, 19.16, 2.55
0.206, 92.570, 0.422, 87.460, 18.62, 2.35
0.198, 93.014, 0.368, 89.220, 18.58, 2.44
0.186, 93.452, 0.425, 87.930, 18.46, 2.34
0.175, 93.884, 0.397, 88.070, 18.41, 2.34
0.160, 94.400, 0.353, 89.360, 18.43, 2.44
0.157, 94.522, 0.347, 89.410, 18.49, 2.49
0.144, 94.894, 0.382, 89.030, 18.55, 2.34
0.142, 94.986, 0.361, 90.120, 18.40, 2.49
0.131, 95.242, 0.361, 89.700, 18.51, 2.34
0.121, 95.730, 0.449, 88.550, 18.48, 2.34
0.120, 95.820, 0.392, 89.590, 18.55, 2.38
0.111, 96.068, 0.382, 90.130, 18.62, 2.49
0.106, 96.264, 0.423, 89.410, 18.67, 2.38
0.100, 96.394, 0.386, 90.060, 18.72, 2.38
0.097, 96.554, 0.362, 90.690, 18.87, 2.53
0.092, 96.760, 0.357, 90.990, 18.98, 2.55
0.087, 96.886, 0.390, 90.230, 19.02, 2.42
0.078, 97.182, 0.392, 90.760, 19.03, 2.41
0.076, 97.300, 0.387, 90.630, 19.15, 2.44
0.073, 97.384, 0.398, 90.400, 19.12, 2.45
0.067, 97.628, 0.391, 90.970, 19.22, 2.42
0.065, 97.784, 0.398, 90.620, 19.20, 2.46
0.066, 97.650, 0.529, 88.600, 19.21, 2.44
0.061, 97.846, 0.396, 90.900, 19.12, 2.44
0.061, 97.810, 0.416, 90.500, 19.03, 2.42
0.055, 98.132, 0.404, 90.770, 18.98, 2.41
0.050, 98.170, 0.387, 91.310, 18.93, 2.53
0.048, 98.310, 0.377, 91.580, 19.04, 2.55
0.050, 98.236, 0.473, 90.250, 19.10, 2.43
0.048, 98.298, 0.390, 91.490, 19.01, 2.35
0.048, 98.306, 0.408, 91.500, 18.60, 2.34
0.044, 98.490, 0.375, 91.690, 18.45, 2.48
0.039, 98.634, 0.373, 91.970, 18.39, 2.44
0.036, 98.730, 0.415, 91.650, 18.39, 2.33
0.038, 98.656, 0.446, 90.610, 18.46, 2.34
0.038, 98.674, 0.411, 91.420, 18.43, 2.33
0.033, 98.842, 0.412, 91.650, 18.51, 2.32
0.034, 98.820, 0.473, 90.960, 18.57, 2.32
0.035, 98.768, 0.415, 91.370, 18.41, 2.32
0.031, 98.922, 0.412, 91.750, 18.42, 2.33
0.034, 98.812, 0.422, 91.560, 18.39, 2.35
0.030, 98.950, 0.396, 91.920, 18.50, 2.33
0.029, 98.956, 0.456, 91.110, 18.34, 2.30
0.030, 98.944, 0.398, 91.850, 18.37, 2.34
0.027, 99.070, 0.447, 91.560, 18.42, 2.34
0.024, 99.140, 0.388, 92.230, 18.36, 2.43
0.025, 99.108, 0.430, 91.890, 18.45, 2.31
0.026, 99.092, 0.407, 91.990, 18.56, 2.33
0.022, 99.246, 0.421, 91.700, 18.42, 2.31
0.023, 99.200, 0.433, 91.910, 18.46, 2.36
0.022, 99.214, 0.418, 92.440, 18.58, 2.45
0.022, 99.250, 0.436, 91.550, 18.58, 2.38
0.023, 99.220, 0.424, 91.930, 18.56, 2.38
0.020, 99.302, 0.439, 91.930, 18.70, 2.37
0.023, 99.174, 0.440, 92.160, 18.76, 2.39
0.017, 99.388, 0.433, 92.150, 18.76, 2.34
0.020, 99.290, 0.440, 92.070, 18.51, 2.32
0.019, 99.354, 0.455, 92.120, 18.39, 2.30
0.017, 99.404, 0.441, 91.940, 18.24, 2.33
0.022, 99.232, 0.466, 91.860, 18.34, 2.32
0.019, 99.342, 0.443, 92.140, 18.51, 2.32
0.020, 99.336, 0.423, 92.170, 18.39, 2.29
0.015, 99.462, 0.476, 91.860, 18.45, 2.31
0.015, 99.456, 0.446, 92.130, 18.42, 2.32
0.016, 99.444, 0.428, 92.600, 18.34, 2.41
0.015, 99.466, 0.463, 92.030, 18.46, 2.33
0.015, 99.490, 0.455, 92.220, 18.46, 2.32
0.014, 99.510, 0.433, 92.170, 18.50, 2.37
0.015, 99.492, 0.474, 92.040, 18.66, 2.34
0.016, 99.472, 0.474, 92.030, 18.76, 2.38
0.015, 99.474, 0.466, 91.790, 18.80, 2.38
0.011, 99.626, 0.442, 92.430, 18.85, 2.40
0.014, 99.540, 0.465, 91.950, 18.96, 2.42
0.015, 99.498, 0.464, 92.080, 19.01, 2.42
0.012, 99.584, 0.464, 92.250, 19.08, 2.42
0.010, 99.676, 0.443, 92.560, 19.10, 2.48
0.013, 99.576, 0.477, 92.070, 19.20, 2.43
0.011, 99.644, 0.457, 92.520, 19.18, 2.44
0.011, 99.626, 0.481, 92.020, 19.23, 2.46
0.013, 99.554, 0.477, 91.950, 19.11, 2.46
0.013, 99.574, 0.503, 92.050, 19.14, 2.44
0.010, 99.652, 0.453, 92.660, 19.23, 2.56
0.013, 99.542, 0.491, 91.990, 19.16, 2.45
0.014, 99.488, 0.476, 92.050, 19.26, 2.46
0.012, 99.558, 0.462, 92.400, 19.14, 2.45
0.010, 99.658, 0.462, 92.210, 19.02, 2.41
0.012, 99.554, 0.450, 92.520, 18.84, 2.36
0.010, 99.670, 0.473, 92.250, 18.64, 2.33
0.009, 99.682, 0.443, 92.550, 18.50, 2.35
0.009, 99.700, 0.449, 92.770, 18.35, 2.46
0.006, 99.770, 0.443, 92.790, 18.43, 2.41
0.008, 99.726, 0.458, 92.470, 18.43, 2.32
