train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
1.479, 46.174, 1.198, 58.320, 17.18, 1.92
0.948, 66.410, 1.084, 67.120, 17.09, 1.76
0.731, 74.432, 0.811, 73.090, 17.15, 1.58
0.622, 78.362, 0.691, 77.070, 17.16, 1.74
0.546, 81.278, 0.616, 79.800, 17.23, 1.69
0.477, 83.538, 0.556, 81.170, 17.45, 1.72
0.435, 85.016, 0.570, 81.820, 17.43, 1.68
0.398, 85.950, 0.470, 84.720, 17.48, 1.71
0.365, 87.306, 0.455, 84.950, 17.62, 1.72
0.334, 88.330, 0.455, 85.460, 17.60, 1.64
0.313, 89.074, 0.528, 84.320, 17.35, 1.66
0.286, 90.178, 0.428, 86.670, 17.24, 1.64
0.264, 90.730, 0.499, 84.220, 17.17, 1.60
0.260, 90.870, 0.368, 88.500, 17.16, 1.68
0.231, 91.944, 0.389, 88.050, 17.22, 1.64
0.221, 92.234, 0.398, 87.790, 17.20, 1.65
0.206, 92.748, 0.367, 88.670, 17.17, 1.64
0.197, 93.158, 0.394, 88.140, 17.03, 1.57
0.181, 93.654, 0.357, 89.170, 17.16, 1.61
0.173, 93.914, 0.363, 89.470, 17.26, 1.74
0.157, 94.418, 0.353, 89.420, 17.25, 1.57
0.154, 94.658, 0.368, 89.170, 17.19, 1.64
0.147, 94.866, 0.345, 89.760, 17.24, 1.74
0.134, 95.228, 0.348, 89.870, 17.29, 1.69
0.132, 95.278, 0.354, 90.170, 17.38, 1.71
0.120, 95.748, 0.363, 89.820, 17.36, 1.63
0.116, 95.898, 0.363, 90.210, 17.41, 1.74
0.105, 96.344, 0.343, 90.750, 17.47, 1.62
0.107, 96.226, 0.364, 90.320, 17.45, 1.70
0.105, 96.234, 0.497, 88.320, 17.58, 1.65
0.094, 96.650, 0.359, 90.320, 17.74, 1.63
0.088, 96.844, 0.411, 89.780, 17.99, 1.65
0.085, 97.028, 0.415, 90.050, 18.00, 1.64
0.082, 97.116, 0.355, 90.970, 18.01, 1.66
0.074, 97.328, 0.344, 91.260, 18.11, 1.69
0.073, 97.332, 0.393, 90.450, 18.01, 1.70
0.066, 97.650, 0.335, 91.610, 17.97, 1.73
0.065, 97.728, 0.370, 91.070, 17.94, 1.68
0.062, 97.810, 0.394, 90.980, 17.96, 1.55
0.057, 97.960, 0.462, 90.190, 18.01, 1.67
0.060, 97.916, 0.390, 90.710, 17.93, 1.62
0.053, 98.096, 0.380, 91.330, 17.68, 1.58
0.053, 98.094, 0.388, 91.000, 17.39, 1.72
0.048, 98.318, 0.395, 91.010, 17.28, 1.65
0.050, 98.178, 0.394, 91.140, 17.17, 1.66
0.050, 98.174, 0.393, 91.060, 17.14, 1.67
0.043, 98.450, 0.385, 91.510, 17.20, 1.60
0.041, 98.578, 0.439, 90.870, 17.21, 1.67
0.045, 98.414, 0.393, 91.510, 17.16, 1.63
0.039, 98.712, 0.408, 91.050, 17.36, 1.67
0.036, 98.724, 0.391, 91.570, 17.38, 1.63
0.033, 98.852, 0.416, 91.550, 17.33, 1.63
0.032, 98.848, 0.424, 91.260, 17.29, 1.63
0.029, 98.978, 0.433, 91.430, 17.44, 1.61
0.032, 98.866, 0.428, 91.310, 17.37, 1.67
0.034, 98.820, 0.414, 91.390, 17.43, 1.54
0.030, 98.960, 0.433, 91.240, 17.48, 1.62
0.028, 99.038, 0.488, 90.740, 17.58, 1.65
0.031, 98.904, 0.418, 91.520, 17.70, 1.64
0.024, 99.178, 0.395, 91.970, 17.86, 1.59
0.028, 99.010, 0.389, 92.140, 17.92, 1.72
0.025, 99.130, 0.419, 91.690, 17.96, 1.61
0.023, 99.222, 0.423, 91.850, 18.03, 1.68
0.023, 99.208, 0.384, 92.290, 17.96, 1.66
0.023, 99.206, 0.454, 91.350, 17.89, 1.66
0.026, 99.062, 0.382, 92.000, 17.78, 1.66
0.017, 99.434, 0.397, 92.360, 17.72, 1.66
0.016, 99.506, 0.422, 92.190, 17.83, 1.63
0.019, 99.354, 0.438, 91.830, 17.91, 1.64
0.020, 99.256, 0.423, 91.920, 17.91, 1.63
0.019, 99.358, 0.411, 92.000, 17.82, 1.67
0.015, 99.476, 0.422, 92.170, 17.78, 1.63
0.017, 99.432, 0.460, 91.740, 17.76, 1.63
0.019, 99.352, 0.418, 92.250, 17.85, 1.60
0.015, 99.482, 0.410, 92.460, 17.88, 1.64
0.012, 99.546, 0.421, 92.190, 17.82, 1.59
0.013, 99.518, 0.445, 92.160, 17.81, 1.60
0.017, 99.418, 0.423, 92.210, 17.78, 1.68
0.011, 99.640, 0.433, 92.380, 17.78, 1.65
0.012, 99.596, 0.441, 92.160, 17.76, 1.60
0.015, 99.486, 0.454, 91.840, 17.78, 1.64
0.013, 99.608, 0.445, 92.220, 17.78, 1.54
0.012, 99.626, 0.458, 92.070, 17.76, 1.67
0.017, 99.430, 0.451, 92.170, 17.76, 1.58
0.015, 99.470, 0.454, 92.000, 17.58, 1.64
0.015, 99.498, 0.429, 92.220, 17.34, 1.67
0.011, 99.620, 0.454, 92.080, 17.24, 1.58
0.014, 99.564, 0.417, 92.580, 17.07, 1.74
0.010, 99.656, 0.438, 92.460, 17.13, 1.67
0.011, 99.662, 0.424, 92.620, 17.04, 1.67
0.011, 99.646, 0.436, 92.330, 17.00, 1.65
0.011, 99.628, 0.432, 92.410, 17.01, 1.62
0.008, 99.740, 0.423, 92.580, 17.02, 1.61
0.011, 99.596, 0.465, 92.020, 16.96, 1.59
0.012, 99.554, 0.437, 92.180, 17.03, 1.62
0.011, 99.622, 0.425, 92.330, 17.04, 1.64
0.011, 99.624, 0.461, 92.090, 17.15, 1.65
0.011, 99.614, 0.435, 92.630, 17.13, 1.62
0.014, 99.504, 0.448, 92.100, 17.10, 1.62
0.011, 99.646, 0.459, 92.260, 17.17, 1.63
0.007, 99.774, 0.431, 92.580, 17.11, 1.59
0.008, 99.738, 0.441, 92.450, 17.26, 1.66
0.007, 99.776, 0.450, 91.970, 17.26, 1.62
0.009, 99.716, 0.442, 92.670, 17.33, 1.68
0.008, 99.726, 0.419, 92.540, 17.44, 1.61
0.008, 99.706, 0.418, 92.790, 17.53, 1.72
0.008, 99.758, 0.421, 92.690, 17.59, 1.58
0.006, 99.826, 0.400, 93.230, 17.66, 1.63
0.006, 99.800, 0.425, 92.520, 17.79, 1.64
0.006, 99.794, 0.442, 92.600, 17.85, 1.61
0.008, 99.758, 0.434, 92.830, 17.84, 1.65
0.006, 99.790, 0.440, 92.600, 17.79, 1.58
0.006, 99.786, 0.429, 92.610, 17.73, 1.64
0.007, 99.780, 0.441, 92.680, 17.73, 1.68
0.008, 99.732, 0.479, 92.320, 17.70, 1.64
0.007, 99.770, 0.458, 92.390, 17.71, 1.62
0.004, 99.880, 0.418, 92.800, 17.32, 1.56
0.004, 99.880, 0.413, 92.850, 17.15, 1.64
0.003, 99.926, 0.435, 92.840, 17.09, 1.66
0.004, 99.900, 0.397, 93.210, 17.04, 1.63
0.003, 99.938, 0.411, 93.140, 17.06, 1.66
0.003, 99.908, 0.420, 93.000, 17.09, 1.62
0.004, 99.862, 0.471, 92.530, 17.16, 1.71
0.004, 99.860, 0.426, 92.860, 17.19, 1.68
0.004, 99.884, 0.421, 93.010, 17.27, 1.63
0.004, 99.878, 0.441, 92.590, 17.15, 1.61
0.004, 99.848, 0.480, 92.660, 17.23, 1.58
0.005, 99.844, 0.425, 93.090, 17.24, 1.67
0.005, 99.850, 0.435, 92.590, 17.34, 1.62
0.004, 99.844, 0.422, 93.070, 17.28, 1.68
0.004, 99.866, 0.439, 92.740, 17.41, 1.61
0.003, 99.892, 0.426, 92.680, 17.45, 1.66
0.004, 99.884, 0.445, 92.590, 17.60, 1.67
0.004, 99.880, 0.434, 92.950, 17.67, 1.58
0.003, 99.904, 0.431, 92.720, 17.66, 1.74
0.003, 99.884, 0.431, 93.000, 17.72, 1.60
0.003, 99.910, 0.427, 92.840, 17.74, 1.61
0.002, 99.926, 0.417, 93.060, 17.79, 1.59
0.004, 99.876, 0.436, 92.820, 17.76, 1.62
0.005, 99.846, 0.460, 92.580, 17.85, 1.66
0.003, 99.918, 0.431, 92.950, 17.74, 1.53
0.003, 99.918, 0.431, 93.060, 17.76, 1.58
0.002, 99.944, 0.418, 93.000, 17.73, 1.64
0.002, 99.936, 0.411, 93.190, 17.91, 1.63
0.002, 99.954, 0.408, 93.100, 17.68, 1.65
0.002, 99.932, 0.436, 92.850, 17.72, 1.69
0.002, 99.940, 0.427, 93.210, 17.76, 1.67
0.003, 99.910, 0.439, 93.010, 17.66, 1.66
0.002, 99.948, 0.420, 93.100, 17.66, 1.66
0.002, 99.954, 0.423, 93.090, 17.74, 1.50
