train_avg_loss, train_acc, test_avg_loss, test_acc, train_time, test_time
1.490, 45.680, 1.370, 53.570, 38.88, 2.59
0.971, 65.342, 0.925, 67.760, 34.16, 2.49
0.750, 73.736, 0.943, 70.560, 34.46, 2.47
0.625, 78.304, 0.643, 78.970, 34.18, 2.47
0.551, 81.130, 0.636, 79.440, 34.08, 2.49
0.485, 83.120, 0.622, 79.780, 34.11, 2.48
0.439, 84.998, 0.500, 83.120, 34.19, 2.47
0.401, 86.254, 0.463, 84.860, 34.26, 2.51
0.368, 87.414, 0.476, 84.940, 34.41, 2.49
0.345, 88.068, 0.433, 86.010, 34.30, 2.51
0.318, 89.032, 0.506, 83.870, 34.12, 2.36
0.294, 89.992, 0.418, 86.490, 34.12, 2.48
0.276, 90.404, 0.400, 87.370, 34.13, 2.50
0.254, 91.134, 0.423, 86.850, 34.24, 2.38
0.244, 91.510, 0.384, 88.220, 34.36, 2.52
0.226, 92.020, 0.398, 87.650, 34.31, 2.37
0.210, 92.768, 0.364, 88.600, 34.17, 2.50
0.197, 93.136, 0.350, 89.290, 34.11, 2.46
0.186, 93.432, 0.412, 88.060, 34.15, 2.39
0.176, 93.762, 0.382, 89.110, 34.20, 2.37
0.167, 94.060, 0.375, 88.860, 34.36, 2.41
0.159, 94.342, 0.354, 89.970, 34.54, 2.53
0.149, 94.680, 0.345, 89.830, 34.79, 2.47
0.142, 94.960, 0.391, 88.950, 35.26, 2.47
0.131, 95.366, 0.355, 90.210, 35.74, 2.59
0.125, 95.604, 0.390, 89.800, 35.38, 2.39
0.114, 95.982, 0.355, 90.360, 34.38, 2.50
0.116, 95.856, 0.406, 89.320, 34.19, 2.37
0.105, 96.284, 0.375, 90.170, 34.18, 2.37
0.099, 96.524, 0.423, 89.010, 34.22, 2.36
0.098, 96.530, 0.433, 89.290, 34.33, 2.37
0.094, 96.716, 0.414, 89.370, 34.50, 2.40
0.087, 96.908, 0.355, 90.530, 34.72, 2.54
0.085, 97.036, 0.376, 90.820, 35.18, 2.56
0.075, 97.212, 0.379, 90.680, 35.64, 2.47
0.077, 97.208, 0.370, 90.820, 35.94, 2.50
0.070, 97.524, 0.417, 90.120, 36.12, 2.47
0.067, 97.562, 0.373, 91.110, 35.58, 2.50
0.061, 97.754, 0.368, 91.290, 34.50, 2.47
0.061, 97.774, 0.440, 90.120, 34.17, 2.36
0.057, 97.992, 0.401, 90.870, 34.12, 2.37
0.055, 98.072, 0.404, 91.060, 34.07, 2.38
0.056, 98.028, 0.400, 91.270, 34.07, 2.34
0.052, 98.178, 0.426, 91.000, 34.06, 2.37
0.049, 98.288, 0.394, 91.300, 34.07, 2.48
0.051, 98.198, 0.448, 90.790, 34.17, 2.36
0.045, 98.432, 0.369, 91.640, 34.31, 2.53
0.040, 98.590, 0.382, 91.850, 34.41, 2.50
0.039, 98.648, 0.428, 91.060, 34.67, 2.41
0.044, 98.458, 0.438, 91.240, 35.05, 2.44
0.039, 98.656, 0.446, 90.780, 35.42, 2.42
0.036, 98.736, 0.411, 91.800, 35.73, 2.45
0.036, 98.784, 0.417, 91.590, 36.02, 2.49
0.035, 98.758, 0.402, 91.680, 36.00, 2.45
0.038, 98.708, 0.422, 91.050, 35.84, 2.44
0.030, 98.950, 0.412, 91.730, 35.77, 2.41
0.031, 98.888, 0.443, 91.190, 35.75, 2.43
0.028, 99.016, 0.437, 91.570, 35.96, 2.46
0.030, 99.006, 0.429, 91.700, 35.90, 2.42
0.027, 99.050, 0.407, 91.730, 35.80, 2.41
0.023, 99.176, 0.405, 91.960, 35.74, 2.54
0.028, 99.072, 0.413, 91.730, 35.77, 2.41
0.024, 99.202, 0.467, 91.550, 35.68, 2.45
0.022, 99.232, 0.404, 92.210, 35.78, 2.57
0.021, 99.282, 0.432, 91.790, 35.80, 2.50
0.026, 99.084, 0.439, 91.720, 35.75, 2.56
0.023, 99.246, 0.434, 91.820, 35.76, 2.50
0.028, 99.006, 0.454, 91.680, 35.72, 2.51
0.019, 99.338, 0.430, 91.790, 35.80, 2.59
0.021, 99.272, 0.433, 91.800, 35.54, 2.46
0.020, 99.324, 0.412, 91.980, 34.57, 2.51
0.019, 99.346, 0.428, 91.970, 34.28, 2.36
0.017, 99.392, 0.413, 92.190, 34.10, 2.45
0.017, 99.434, 0.401, 92.380, 34.11, 2.60
0.017, 99.430, 0.440, 91.950, 34.00, 2.30
0.020, 99.298, 0.450, 91.840, 33.99, 2.33
0.017, 99.370, 0.400, 92.510, 34.01, 2.44
0.017, 99.416, 0.405, 92.470, 34.08, 2.30
0.013, 99.544, 0.406, 92.630, 34.05, 2.43
0.017, 99.402, 0.440, 92.290, 33.98, 2.34
0.014, 99.518, 0.423, 92.500, 34.02, 2.30
0.016, 99.430, 0.461, 92.090, 33.97, 2.32
0.015, 99.452, 0.445, 92.170, 34.00, 2.30
0.016, 99.446, 0.423, 92.170, 34.07, 2.30
0.015, 99.470, 0.460, 91.920, 34.11, 2.32
0.013, 99.528, 0.423, 92.520, 34.25, 2.33
0.012, 99.588, 0.452, 92.320, 34.39, 2.33
0.013, 99.572, 0.434, 92.740, 34.75, 2.50
0.012, 99.596, 0.464, 91.950, 35.15, 2.40
0.016, 99.446, 0.420, 92.500, 35.61, 2.40
0.012, 99.584, 0.460, 92.350, 35.87, 2.43
0.011, 99.632, 0.454, 92.250, 36.06, 2.45
0.013, 99.548, 0.450, 92.160, 36.09, 2.42
0.015, 99.504, 0.426, 92.300, 35.99, 2.43
0.010, 99.642, 0.445, 92.370, 35.97, 2.44
0.012, 99.622, 0.451, 92.350, 35.95, 2.45
0.012, 99.596, 0.464, 91.950, 35.95, 2.46
0.009, 99.694, 0.456, 92.100, 35.92, 2.47
0.010, 99.664, 0.466, 92.230, 35.91, 2.42
0.011, 99.632, 0.460, 92.610, 35.90, 2.43
0.011, 99.618, 0.478, 92.150, 35.90, 2.42
0.009, 99.696, 0.448, 92.640, 35.86, 2.41
0.009, 99.716, 0.436, 92.550, 35.91, 2.43
0.009, 99.684, 0.430, 92.760, 35.92, 2.54
0.008, 99.740, 0.442, 92.680, 35.88, 2.43
0.012, 99.574, 0.471, 91.920, 35.95, 2.42
0.010, 99.660, 0.439, 92.600, 35.88, 2.43
0.011, 99.612, 0.440, 92.570, 35.92, 2.45
0.009, 99.698, 0.439, 92.620, 35.95, 2.48
0.009, 99.690, 0.463, 92.460, 36.00, 2.52
0.009, 99.720, 0.459, 92.370, 35.98, 2.46
0.008, 99.712, 0.454, 92.500, 35.95, 2.51
0.006, 99.758, 0.459, 92.840, 35.93, 2.54
0.006, 99.788, 0.453, 92.580, 34.66, 2.33
0.007, 99.760, 0.450, 92.820, 34.14, 2.31
0.008, 99.714, 0.499, 92.400, 34.06, 2.30
0.009, 99.666, 0.496, 92.260, 33.98, 2.32
0.011, 99.650, 0.494, 92.340, 34.07, 2.30
